ID,Вышестоящий ГО,Исполняющий ГО,Level,FunctionText,Type,Sphere,Sphere_2,Sphere_3,Anomaly,CollisionWith
АДГС-1,Республика Казахстан,АДГС,1,разработка и реализация документов системы государственного планирования в республике казахстан в сферах государственной службы и антикоррупционной политики,Стратегические,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-10,Республика Казахстан,АДГС,1,ведение мониторинга состояния кадрового состава контрактных служащих в государственных органах,Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-11,Республика Казахстан,АДГС,1,"координация деятельности государственных органов по вопросам подготовки, переподготовки и повышения квалификации административных государственных служащих, в том числе за рубежом",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-12,Республика Казахстан,АДГС,1,"координация формирования и размещения государственного заказа по подготовке, переподготовке и повышению квалификации административных государственных служащих",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-13,Республика Казахстан,АДГС,1,"координация научно-исследовательской, учебной, издательской деятельности в порядке, установленном законодательством республики казахстан",Общие функции,"01.5.0 НИОКР, связанные с государственными службами общего назначения (CS)","01.5 Ниокр, связанные с государственными службами общего назначения",01 Государственные службы общего назначения,,
АДГС-14,Республика Казахстан,АДГС,1,утверждение методики расчета стоимости переподготовки и повышения квалификации государственных служащих,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-15,Республика Казахстан,АДГС,1,"ведение мониторинга прохождения государственной службы лицами, завершившими обучение по программам подготовки, переподготовки и повышения квалификации государственных служащих на основании государственного заказа",Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-16,Республика Казахстан,АДГС,1,"мониторинг привлечения к дисциплинарной ответственности первых руководителей государственных органов, руководителей самостоятельных структурных подразделений центральных и местных государственных органов, за исключением случаев, предусмотренных законом республики казахстан ""О государственной службе республики казахстан"", за совершение непосредственно подчиненными им государственными служащими коррупционных преступлений",Контрольные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-17,Республика Казахстан,АДГС,1,"определение порядка, программ, организации тестирования кандидатов на занятие административных государственных должностей и граждан, поступающих на правоохранительную службу в соответствии с законодательством республики казахстан, а также порядка обжалования результатов тестирования",Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-18,Республика Казахстан,АДГС,1,определение порядка проведения конкурсов на занятие административной государственной должности,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
АДГС-19,Республика Казахстан,АДГС,1,определение порядка проведения оценки личных качеств граждан,Регулятивные,01.3.1 Общие вопросы кадрового обслуживания (CS),01.3 Общие службы,01 Государственные службы общего назначения,,
